,Original_Type,Cleaned_Type,Original_Missing,Cleaned_Missing,Unique_Values
Airport_Code,object,object,9549,0.0,2004.0
Amenity,bool,bool,0,0.0,2.0
Astronomical_Twilight,object,object,2867,0.0,2.0
Bump,bool,bool,0,0.0,2.0
City,object,object,137,0.0,11681.0
Civil_Twilight,object,object,2867,0.0,2.0
Country,object,object,0,0.0,1.0
County,object,object,0,0.0,1707.0
Crossing,bool,bool,0,0.0,2.0
Description,object,object,0,0.0,1174563.0
Distance(mi),float64,float64,0,0.0,14165.0
End_Lat,float64,float64,0,0.0,1080811.0
End_Lng,float64,float64,0,0.0,1105404.0
End_Time,object,object,0,0.0,2351505.0
Give_Way,bool,bool,0,0.0,2.0
Humidity(%),float64,float64,73092,0.0,100.0
ID,object,object,0,0.0,2845342.0
Junction,bool,bool,0,0.0,2.0
Nautical_Twilight,object,object,2867,0.0,2.0
No_Exit,bool,bool,0,0.0,2.0
Number,float64,,1743911,,
Precipitation(in),float64,float64,549458,0.0,230.0
Pressure(in),float64,float64,59200,0.0,1068.0
Railway,bool,bool,0,0.0,2.0
Roundabout,bool,bool,0,0.0,2.0
Severity,int64,int64,0,0.0,4.0
Side,object,object,0,0.0,3.0
Start_Lat,float64,float64,0,0.0,1093618.0
Start_Lng,float64,float64,0,0.0,1120365.0
Start_Time,object,object,0,0.0,1959333.0
State,object,object,0,0.0,49.0
Station,bool,bool,0,0.0,2.0
Stop,bool,bool,0,0.0,2.0
Street,object,object,2,0.0,159651.0
Sunrise_Sunset,object,object,2867,0.0,2.0
Temperature(F),float64,float64,69274,0.0,788.0
Timezone,object,object,3659,0.0,4.0
Traffic_Calming,bool,bool,0,0.0,2.0
Traffic_Signal,bool,bool,0,0.0,2.0
Turning_Loop,bool,bool,0,0.0,1.0
Visibility(mi),float64,float64,70546,0.0,76.0
Weather_Condition,object,object,70636,0.0,127.0
Weather_Timestamp,object,object,50736,0.0,474214.0
Wind_Chill(F),float64,float64,469643,0.0,897.0
Wind_Direction,object,object,73775,0.0,24.0
Wind_Speed(mph),float64,float64,157944,0.0,136.0
Zipcode,object,object,1319,0.0,363085.0
